SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,tree_species,Canopy,Tree,Day,Month,shedding,month,Year,season,sample_type,INC,legent1,lane,Temperature,Precipitation,Humidity,VPD,GI,RI,Description
L7S3,Pear_bowtie_mothurQC_L7S3_F649_R889.fasta,05-15-R01C1_S3_L001_R1_001.fastq,199948,143089,141693,119245,67788,20334,1053.016129,564,26.37582,5.89324465,Acacia,Shizaf,A. raddiana,Center,284,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.3448385126,0.397,Epi_R284_5_C
L7S6,Pear_bowtie_mothurQC_L7S6_F649_R889.fasta,05-15-R02C1_S6_L001_R1_001.fastq,344758,254812,252820,215009,67684,21664,569.0294118,318,19.69371,3.718592418,Acacia,Shizaf,A. raddiana,Center,286,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.343,0.388,Epi_R286_5_C
L7S1,Pear_bowtie_mothurQC_L7S1_F649_R889.fasta,05-15-R01N1_S1_L001_R1_001.fastq,39526,20594,20384,17104,10021,4504,658.3947368,360,18.0649,6.231714777,Acacia,Shizaf,A. raddiana,North,284,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.3448385126,0.397,Epi_R284_5_N
L7S4,Pear_bowtie_mothurQC_L7S4_F649_R889.fasta,05-15-R02N1_S4_L001_R1_001.fastq,133711,94933,94227,77944,54671,35410,856.1162791,487,23.54131,5.240747384,Acacia,Shizaf,A. raddiana,North,286,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.343,0.388,Epi_R286_5_N
L7S2,Pear_bowtie_mothurQC_L7S2_F649_R889.fasta,05-15-R01S1_S2_L001_R1_001.fastq,122282,76989,76174,63596,42803,23219,787.0384615,449,19.49607,5.556334626,Acacia,Shizaf,A. raddiana,South,284,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.3448385126,0.397,Epi_R284_5_S
L7S5,Pear_bowtie_mothurQC_L7S5_F649_R889.fasta,05-15-R02S1_S5_L001_R1_001.fastq,135584,96925,95956,79460,45424,33806,559.2857143,317,15.26154,4.447229405,Acacia,Shizaf,A. raddiana,South,286,28,5,new,May,2015,Spring,Epiphytes,core_all,Epi_R,7,34.6,0,29,4189,0.343,0.388,Epi_R286_5_S
L7S12,Pear_bowtie_mothurQC_L7S12_F649_R889.fasta,05-15-T04C1_S12_L001_R1_001.fastq,136545,83682,82911,68909,39644,23985,1199.37037,677,28.84784,5.993038918,Acacia,Shizaf,A. tortilis,Center,23,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T23_5_C
L7S9,Pear_bowtie_mothurQC_L7S9_F649_R889.fasta,05-15-T03C1_S9_L001_R1_001.fastq,76469,39019,38541,31975,19210,14175,888.9230769,547,25.30062,6.101600595,Acacia,Shizaf,A. tortilis,Center,300,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T300_5_C
L7S10,Pear_bowtie_mothurQC_L7S10_F649_R889.fasta,05-15-T04N1_S10_L001_R1_001.fastq,127561,91814,91265,76751,36116,17679,1070.690141,572,23.79705,5.544698437,Acacia,Shizaf,A. tortilis,North,23,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T23_5_N
L7S7,Pear_bowtie_mothurQC_L7S7_F649_R889.fasta,05-15-T03N1_S7_L001_R1_001.fastq,176592,113640,112691,94528,52781,26812,958.0555556,568,24.83129,6.134912457,Acacia,Shizaf,A. tortilis,North,300,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T300_5_N
L7S11,Pear_bowtie_mothurQC_L7S11_F649_R889.fasta,05-15-T04S1_S11_L001_R1_001.fastq,69557,37886,37193,30570,20893,14315,857.12,474,21.47098,5.528812034,Acacia,Shizaf,A. tortilis,South,23,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T23_5_S
L7S8,Pear_bowtie_mothurQC_L7S8_F649_R889.fasta,05-15-T03S1_S8_L001_R1_001.fastq,70689,48650,48260,40460,24988,13013,638.3947368,388,18.7475,5.695624538,Acacia,Shizaf,A. tortilis,South,300,28,5,old,May,2015,Spring,Epiphytes,core_all,Epi_T,7,34.6,0,29,4189,0.3400736068,0.378,Epi_T300_5_S
C01S83,Pear_bowtie_mothurQC_C01S83_F649_R889.fasta,Core-01-S83-Endo-R284S6_S83_L001_R1_001.fastq,66685,56550,56435,48453,42358,7740,459,286,15.05886,3.706650276,Acacia,Shizaf,A. raddiana,South,284,11,6,new,June,2015,Spring,Endophytes,core_all,Endo_R,C01,29.3,0,46,2403,0.3317843201,0.382,Endo_R284_6_S
C01S82,Pear_bowtie_mothurQC_C01S82_F649_R889.fasta,Core-01-S82-Endo-R286S4_S82_L001_R1_001.fastq,105126,89020,88874,77187,51088,18299,443.5,217,12.59209,2.565812688,Acacia,Shizaf,A. raddiana,South,286,11,6,new,June,2015,Spring,Endophytes,core_all,Endo_R,C01,29.3,0,46,2403,0.335,0.365,Endo_R286_6_S
C01S59,Pear_bowtie_mothurQC_C01S59_F649_R889.fasta,Core-01-S59-Endo-T23S4_S59_L001_R1_001.fastq,117959,97307,97180,84715,57881,7533,258.0666667,150,8.79009,2.816080678,Acacia,Shizaf,A. tortilis,South,23,11,6,old,June,2015,Spring,Endophytes,core_all,Endo_T,C01,29.3,0,46,2403,0.351,0.41,Endo_T23_6_S
C01S55,Pear_bowtie_mothurQC_C01S55_F649_R889.fasta,Core-01-S55-Endo-T300S3_S55_L001_R1_001.fastq,87409,76911,76781,66793,54079,4670,194.1764706,130,7.93853,2.657025377,Acacia,Shizaf,A. tortilis,South,300,11,6,old,June,2015,Spring,Endophytes,core_all,Endo_T,C01,29.3,0,46,2403,0.3400266543,0.375,Endo_T300_6_S
L6S3,Pear_bowtie_mothurQC_L6S3_F649_R889.fasta,06-15-R01C1_S3_L001_R1_001.fastq,33334,26831,26785,19607,13077,10921,1009.71831,601,26.77193,5.666433728,Acacia,Shizaf,A. raddiana,Center,284,11,6,new,June,2015,Spring,Epiphytes,core_all,Epi_R,6,29.3,0,46,2403,0.3317843201,0.382,Epi_R284_6_C
L6S6,Pear_bowtie_mothurQC_L6S6_F649_R889.fasta,06-15-R02C1_S6_L001_R1_001.fastq,143925,114800,114526,86146,43638,5678,380.8888889,216,13.18049,3.12266585,Acacia,Shizaf,A. raddiana,Center,286,11,6,new,June,2015,Spring,Epiphytes,core_all,Epi_R,6,29.3,0,46,2403,0.335,0.365,Epi_R286_6_C
